,Strain with erv25 promoter
1,Msn2DBD_HO_Gcn4
2,Msn2DBD_HO_Gal4
3,Nrg2DBD_HO_Gcn4
4,Nrg2DBD_HO_Gal4
5,Crz1DBD_HO_Gcn4
6,Crz1DBD_HO_Gal4
7,Vhr1DBD_HO_Gcn4
8,Vhr1DBD_HO_Gal4
9,Gln3DBD_HO_Gcn4
10,Gln3DBD_HO_Gal4
11,Dot6DBD_HO_Gcn4
12,Dot6DBD_HO_Gal4
13,Cst6DBD_HO_Gcn4
14,Cst6DBD_HO_Gal4
15,Yap1DBD_HO_Gcn4
16,Yap1DBD_HO_Gal4
17,Sko1DBD_HO_Gcn4
18,Sko1DBD_HO_Gal4
19,Pdr8DBD_HO_Gcn4
20,Pdr8DBD_HO_Gal4
21,Gal4DBD_HO_Gcn4
22,Gal4DBD_HO_Gal4
23,Gcn4DBD_HO_Gcn4
24,Gcn4DBD_HO_Gal4
25,Mig3DBD_HO_Gcn4
26,Mig3DBD_HO_Gal4
27,Rpn4DBD_HO_Gcn4
28,Rpn4DBD_HO_Gal4
29,Reb1DBD_HO_Gcn4
30,Reb1DBD_HO_Gal4
31,Abf1DBD_HO_Gcn4
32,Abf1DBD_HO_Gal4
33,Met31DBD_HO_Gcn4
34,Met31DBD_HO_Gal4
35,Ino2DBD_HO_Gcn4
36,Ino2DBD_HO_Gal4
37,Yap1_HO_full
38,Met31_HO_full
39,Cst6_HO_full
40,Gcn4_HO_full
41,Gal4_HO_full
42,Mig3_HO_full
43,Pdr8_HO_full
44,Sko1_HO_full
45,Gln3_HO_full
46,Msn2_HO_full
47,Crz1_HO_full
48,Vhr1_HO_full
49,Rpn4_HO_full
50,Nrg2_HO_full
51,Ino2_HO_full
52,Reb1_HO_full
53,Abf1_HO_full
54,Dot6_HO_full
55,HO_Gal4_AD_clone1
56,HO_Gcn4_AD_clone1
